team,rank,ranking_points,goals_for_last10,goals_against_last10,points_last10,goal_diff_last10,overall,pace,shooting,defending,physical
Algeria,28.0,1571.033293,1.9,0.4,2.3,1.5,76.17391304347827,71.34782608695652,65.43478260869566,50.56521739130435,68.78260869565217
Argentina,1.0,1876.118331,2.3,0.3,2.5,2.0,83.47826086956522,72.3913043478261,65.43478260869566,45.130434782608695,70.78260869565217
Australia,27.0,1579.34264,1.4,1.0,1.8,0.4,72.17391304347827,64.95652173913044,50.21739130434783,49.17391304347826,69.78260869565217
Austria,24.0,1597.404087,2.8,0.5,2.5,2.3,77.04347826086956,68.1304347826087,58.17391304347826,62.869565217391305,72.30434782608695
Belgium,9.0,1742.235945,3.6,0.9,2.4,2.7,82.34782608695652,68.82608695652173,63.43478260869565,51.869565217391305,72.82608695652173
Bosnia-Herzegovina,64.0,1387.215771,2.0,1.1,1.4,0.9,74.34782608695652,64.78260869565217,62.73913043478261,56.56521739130435,72.78260869565217
Brazil,6.0,1765.856297,2.4,1.0,1.9,1.4,85.0,71.82608695652173,64.17391304347827,67.43478260869566,75.82608695652173
Canada,30.0,1559.479301,1.1,0.4,1.7,0.7,70.47826086956522,70.04347826086956,54.34782608695652,51.56521739130435,71.73913043478261
Cape Verde,211.0,1579.34264,1.7,1.0,1.7,0.7,68.8695652173913,69.30434782608695,55.65217391304348,50.43478260869565,70.08695652173913
Colombia,13.0,1698.351858,2.4,1.1,2.0,1.3,78.73913043478261,72.26086956521739,62.391304347826086,54.82608695652174,72.52173913043478
Congo DR,45.0,1479.684122,1.1,0.3,2.1,0.8,72.82608695652173,77.73913043478261,62.52173913043478,49.43478260869565,70.17391304347827
Croatia,11.0,1714.865572,2.2,1.0,2.2,1.2,78.95652173913044,70.65217391304348,64.21739130434783,58.08695652173913,72.91304347826087
Curaçao,82.0,1294.76909,1.6,1.6,1.2,0.0,65.3076923076923,71.84615384615384,55.38461538461539,41.69230769230769,64.6923076923077
Czechia,39.0,1505.737856,1.8,1.3,1.6,0.5,76.56521739130434,67.8695652173913,54.391304347826086,56.30434782608695,72.30434782608695
Côte d'Ivoire,33.0,1540.869533,2.0,0.7,2.2,1.3,76.56521739130434,76.21739130434783,64.08695652173913,58.08695652173913,73.43478260869566
Ecuador,23.0,1598.51582,0.9,0.5,1.6,0.4,74.52173913043478,66.47826086956522,54.65217391304348,46.73913043478261,70.91304347826087
Egypt,29.0,1562.367246,1.4,0.5,2.1,0.9,72.3913043478261,66.69565217391305,55.0,51.130434782608695,70.56521739130434
England,4.0,1827.048678,2.2,0.5,2.2,1.7,83.1304347826087,72.52173913043478,58.52173913043478,60.17391304347826,73.21739130434783
France,3.0,1869.428449,2.4,0.8,2.5,1.6,84.69565217391305,74.95652173913044,60.869565217391305,53.91304347826087,73.73913043478261
Germany,10.0,1735.771984,2.6,0.9,2.4,1.7,84.65217391304348,68.3913043478261,59.130434782608695,52.869565217391305,73.17391304347827
Ghana,73.0,1346.881205,1.4,1.3,1.3,0.1,74.8695652173913,77.47826086956522,61.52173913043478,62.04347826086956,72.3913043478261
Haiti,83.0,1293.096585,1.5,1.0,1.5,0.5,63.4,68.5,48.8,47.9,63.1
IR Iran,20.0,1619.58163,1.7,0.8,1.5,0.9,70.33333333333333,64.93333333333334,50.46666666666667,41.4,66.26666666666667
Iraq,56.0,1451.153466,1.1,0.8,1.8,0.3,70.75,74.0,66.25,56.25,70.25
Japan,18.0,1661.576187,1.8,0.7,2.0,1.1,74.56521739130434,74.08695652173913,62.69565217391305,53.04347826086956,62.47826086956522
Jordan,63.0,1387.738222,1.9,1.6,1.7,0.3,62.0,65.5,52.5,39.5,64.5
Korea Republic,25.0,1591.630886,1.8,1.2,1.9,0.6,73.52173913043478,73.21739130434783,57.52173913043478,50.82608695652174,68.17391304347827
Mexico,14.0,1687.481759,1.2,0.4,1.9,0.8,77.78260869565217,72.56521739130434,63.73913043478261,55.608695652173914,69.04347826086956
Morocco,7.0,1755.100232,2.2,0.3,2.4,1.9,77.17391304347827,70.43478260869566,65.21739130434783,52.30434782608695,69.43478260869566
Netherlands,8.0,1751.097835,2.8,0.7,2.1,2.1,81.6086956521739,72.21739130434783,64.8695652173913,57.391304347826086,74.6086956521739
New Zealand,85.0,1275.581062,0.8,1.9,0.4,-1.1,66.82608695652173,63.69565217391305,48.43478260869565,52.56521739130435,68.6086956521739
Norway,31.0,1557.437664,3.1,0.7,2.3,2.4,75.69565217391305,70.95652173913044,58.69565217391305,55.34782608695652,73.1304347826087
Panama,34.0,1539.155509,1.8,1.5,1.8,0.3,67.81818181818181,66.27272727272727,51.90909090909091,47.45454545454545,70.54545454545455
Paraguay,40.0,1505.349689,1.0,1.0,1.4,0.0,74.8695652173913,74.3913043478261,63.17391304347826,58.04347826086956,70.0
Portugal,5.0,1766.177547,2.6,1.0,2.1,1.6,82.8695652173913,75.56521739130434,66.0,58.869565217391305,71.82608695652173
Qatar,57.0,1450.307729,0.9,1.7,0.7,-0.8,75.69565217391305,70.43478260869566,58.52173913043478,52.56521739130435,70.78260869565217
Saudi Arabia,61.0,1421.538339,1.2,1.5,1.2,-0.3,69.43478260869566,69.26086956521739,49.82608695652174,50.82608695652174,67.30434782608695
Scotland,42.0,1503.34027,2.1,1.0,1.9,1.1,76.1304347826087,69.08695652173913,65.04347826086956,60.78260869565217,72.69565217391305
Senegal,15.0,1686.412769,1.9,0.9,2.2,1.0,77.26086956521739,71.56521739130434,57.21739130434783,52.43478260869565,73.8695652173913
South Africa,60.0,1428.379282,1.4,1.0,1.5,0.4,71.04347826086956,70.26086956521739,51.608695652173914,47.82608695652174,62.17391304347826
Spain,2.0,1873.013187,2.7,0.5,2.2,2.2,84.82608695652173,70.34782608695652,65.17391304347827,67.65217391304348,69.52173913043478
Sweden,38.0,1509.785392,1.5,2.1,1.1,-0.6,76.0,62.47826086956522,57.91304347826087,48.47826086956522,72.04347826086956
Switzerland,19.0,1650.064179,2.5,0.7,2.1,1.8,78.1304347826087,64.30434782608695,48.04347826086956,50.82608695652174,73.78260869565217
Tunisia,46.0,1476.405088,1.3,1.0,1.3,0.3,69.65217391304348,70.43478260869566,57.82608695652174,52.56521739130435,66.0
Türkiye,22.0,1605.730921,2.3,1.3,2.2,1.0,76.34782608695652,70.95652173913044,53.95652173913044,55.608695652173914,70.04347826086956
United States,17.0,1671.2341,1.8,1.7,1.6,0.1,74.8695652173913,69.95652173913044,48.17391304347826,51.47826086956522,72.91304347826087
Uruguay,16.0,1673.068603,1.0,0.9,1.6,0.1,80.82608695652173,70.52173913043478,59.130434782608695,63.08695652173913,74.69565217391305
Uzbekistan,50.0,1461.208132,1.3,0.7,1.6,0.6,64.28571428571429,66.0,52.42857142857143,53.285714285714285,63.57142857142857
